03 12 13 08 00,03 12 13 17 38,36 -14
03 12 14 08 02,03 12 14 17 35,37 -14
03 12 15 08 01,03 12 15 17 35,37 -13
03 12 16 08 01,03 12 16 17 38,36 -14
03 12 17 08 01,03 12 17 17 36,37 -13
03 12 18 08 04,03 12 18 17 37,37 -14
03 12 19 08 03,03 12 19 17 37,37 -14
03 12 20 07 50,03 12 20 17 33,36 -11
03 12 21 08 06,03 12 21 17 39,38 -14
03 12 22 08 07,03 12 22 17 40,38 -14
03 12 23 08 09,03 12 23 17 41,38 -14
03 12 24 08 06,03 12 24 17 38,38 -13
03 12 25 08 07,03 12 25 17 39,38 -13
03 12 26 08 07,03 12 26 17 35,39 -13
03 12 27 08 07,03 12 27 17 40,39 -13
03 12 28 08 04,03 12 28 17 43,37 -13
03 12 29 08 05,03 12 29 17 47,37 -14
03 12 30 08 09,03 12 30 17 45,38 -14
03 12 31 08 03,03 12 31 17 45,37 -13
04 01 01 08 06,04 01 01 17 45,38 -13
04 01 02 08 07,04 01 02 17 40,39 -13
04 01 03 08 08,04 01 03 17 43,39 -13
04 01 04 08 07,04 01 04 17 41,39 -13
04 01 05 08 05,04 01 05 17 51,38 -13
04 01 06 08 00,04 01 06 17 33,40 -10
04 01 07 08 09,04 01 07 17 49,39 -14
04 01 08 08 12,04 01 08 17 49,40 -14
04 01 09 08 08,04 01 09 17 53,39 -14
04 01 10 08 10,04 01 10 17 52,39 -14
04 01 11 08 10,04 01 11 17 58,38 -14
04 01 12 08 09,04 01 12 17 56,39 -14
04 01 13 08 08,04 01 13 17 54,39 -13
04 01 14 08 08,04 01 14 17 59,39 -14
04 01 15 08 10,04 01 15 18 04,38 -15
04 01 16 08 10,04 01 16 17 54,40 -13
04 01 17 08 13,04 01 17 18 02,40 -15
04 01 18 08 12,04 01 18 17 52,42 -13
04 01 19 08 14,04 01 19 17 51,43 -13
04 01 20 08 14,04 01 20 17 54,42 -13
04 01 21 08 09,04 01 21 17 57,41 -13
04 01 22 08 12,04 01 22 18 01,41 -14
04 01 23 08 07,04 01 23 17 59,41 -13
04 01 24 08 12,04 01 24 18 00,42 -14
04 01 25 08 09,04 01 25 17 59,42 -13
04 01 26 08 08,04 01 26 18 04,41 -13
04 01 27 08 12,04 01 27 18 04,42 -14
04 01 28 08 08,04 01 28 18 05,42 -14
